word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
abandon,ə'bændən,,v. 放弃；抛弃；放纵\nn. 放任,,0,0,gk cet4 cet6 ky toefl gre,,,,
abundant,ə'bʌndənt,,adj. 丰富的，充裕的,,0,0,cet4 cet6 ky toefl ielts,,,,
acknowledge,ək'nɒlɪdʒ,,v. 承认；确认收到；致谢,,0,0,cet6 gre toefl,,,,
aggravate,'ægrəveɪt,,v. 加重，恶化；激怒,,0,0,cet6 gre toefl,,,,
ambiguous,æm'bɪgjʊəs,,adj. 模棱两可的，含糊不清的,,0,0,cet6 toefl gre,,,,
beneficial,ˌbenɪ'fɪʃəl,,adj. 有利的，有益的,,0,0,cet4 cet6 ky,,,,
bureaucracy,bjuə'rɒkrəsi,,n. 官僚主义，官僚体制；官僚,,0,0,gre toefl,,,,
compensate,'kɒmpenseɪt,,v. 补偿，赔偿；抵消,,0,0,cet4 cet6 ky toefl,,,,
comprehensive,ˌkɒmprɪ'hensɪv,,adj. 全面的，广泛的,,0,0,cet4 cet6 ky toefl ielts,,,,
controversial,ˌkɒntrə'vɜːʃəl,,adj. 引起争议的，有争议的,,0,0,cet6 gre toefl,,,,
deteriorate,dɪ'tɪərɪəreɪt,,v. 恶化，变坏,,0,0,cet6 toefl gre,,,,
dilemma,dɪ'lemə,,n. 困境，进退两难,,0,0,cet6 toefl gre,,,,
eliminate,ɪ'lɪmɪneɪt,,v. 消除，排除；淘汰,,0,0,cet4 cet6 ky toefl,,,,
explicit,ɪk'splɪsɪt,,adj. 明确的，清楚的；直率的,,0,0,cet6 gre toefl,,,,
facilitate,fə'sɪlɪteɪt,,v. 促进，使便利,,0,0,cet6 toefl ielts gre,,,,
hypothesis,haɪ'pɒθəsɪs,,n. 假说，假设；前提,,0,0,cet6 toefl gre,,,,
incentive,ɪn'sentɪv,,n. 刺激，动机，诱因,,0,0,cet6 toefl gre ielts,,,,
inevitable,ɪn'evɪtəbl,,adj. 不可避免的，必然发生的,,0,0,cet4 cet6 ky toefl gre,,,,
intrinsic,ɪn'trɪnzɪk,,adj. 固有的，内在的，本质的,,0,0,toefl gre,,,,
legitimate,lɪ'dʒɪtɪmət,,adj. 合法的；正当的\nv. 使合法,,0,0,cet6 toefl gre,,,,
manipulate,mə'nɪpjʊleɪt,,v. 操作，操纵；控制,,0,0,cet6 toefl gre ielts,,,,
mitigate,'mɪtɪgeɪt,,v. 减轻，缓和,,0,0,gre toefl,,,,
notorious,nəʊ'tɔːriəs,,adj. 臭名昭著的，声名狼藉的,,0,0,cet6 toefl gre,,,,
paradox,'pærədɒks,,n. 悖论，自相矛盾的人或事,,0,0,cet6 toefl gre,,,,
plausible,'plɔːzəbl,,adj. 貌似合理的，可信的,,0,0,gre toefl,,,,
pragmatic,præɡ'mætɪk,,adj. 务实的，实用主义的,,0,0,gre toefl,,,,
prevalent,'prevələnt,,adj. 流行的，盛行的,,0,0,cet6 toefl gre,,,,
profound,prə'faʊnd,,adj. 深刻的；渊博的；严重的,,0,0,cet4 cet6 ky toefl gre,,,,
prosperity,prɒs'perəti,,n. 繁荣，昌盛,,0,0,cet6 toefl gre,,,,
recession,rɪ'seʃən,,n. 衰退，不景气；撤回,,0,0,cet6 toefl gre ielts,,,,
scrutiny,'skruːtɪnɪ,,n. 仔细检查，审查；监视,,0,0,gre toefl,,,,
significant,ɪɡ'nɪfɪkənt,,adj. 有意义的；重要的；显著的,,0,0,cet4 cet6 ky toefl,,,,
skeptical,'skeptɪkl,,adj. 怀疑的，持怀疑态度的,,0,0,toefl gre,,,,
spontaneous,spɒn'teɪniəs,,adj. 自发的，自然产生的,,0,0,cet6 toefl gre,,,,
subordinate,sə'bɔːdɪnət,,adj. 从属的\nn. 下级\nv. 使服从,,0,0,cet6 toefl gre,,,,
subtle,'sʌtl,,adj. 微妙的；细微的；精巧的,,0,0,cet6 toefl gre,,,,
sufficient,sə'fɪʃənt,,adj. 足够的，充分的,,0,0,cet4 cet6 ky toefl,,,,
tentative,'tentətɪv,,adj. 试验性的，暂定的\nn. 暂定安排,,0,0,toefl gre,,,,
thrive,θraɪv,,v. 兴旺，繁荣；茁壮成长,,0,0,cet6 toefl gre ielts,,,,
tremendous,tre'mendəs,,adj. 巨大的，惊人的,,0,0,cet4 cet6 toefl,,,,
undermine,ˌʌndə'maɪn,,v. 逐渐削弱；暗中破坏,,0,0,cet6 toefl gre ielts,,,,
utilize,'juːtəlaɪz,,v. 利用，运用,,0,0,cet4 cet6 ky toefl,,,,
vulnerable,'vʌlnərəbl,,adj. 易受攻击的，脆弱的,,0,0,cet6 toefl gre ielts,,,,
whereby,wɛə'baɪ,,adv. 凭借，由于,,0,0,toefl gre,,,,
withstand,wɪð'stænd,,v. 抵挡，承受住,,0,0,cet6 toefl gre,,,,
